country_yq,country,year_quarter,year_quarter_aux,reer_index,exports_all,exports_imports,ca_gdp,debt_reserves,portfolio_pib,real_gdp_yoy,cpi_index,fiscal_gdp,creditgdp,lending_deposit,msci_index,fed_funds,vix,id,bo,br,cl,co,mx,py,pe,uy
AR1994Q3,AR,1994-Q3,1/7/1994,-0.12566725,0.09344972,0.741257421,-0.037184707,1.399233195,0.015834839,0.147651311,0.036556881,0.004417284,0.311,2.285882353,0.121183467,0.044866667,-0.147988104,1,0,0,0,0,0,0,0,0
AR1994Q4,AR,1994-Q4,1/10/1994,-0.08851964,0.074518786,0.774792873,-0.038592155,1.327290616,0.012519601,0.156788995,0.03572281,0.003901962,0.314,2.183146067,-0.000264612,0.051666667,0.198779157,1,0,0,0,0,0,0,0,0
AR1995Q1,AR,1995-Q1,1/1/1995,-0.08083229,0.101897812,0.861156993,-0.033698504,2.397882401,-0.001619463,-0.102092255,0.047238002,0.009676521,0.303,1.953956835,-0.216037007,0.0581,-0.241535429,1,0,0,0,0,0,0,0,0
AR1995Q2,AR,1995-Q2,1/4/1995,-0.051943295,0.058889704,1.007140884,-0.02596993,1.983547834,0.005780809,-0.133786294,0.041294469,0.008373545,0.312,1.280263158,0.056950757,0.0602,0.016370458,1,0,0,0,0,0,0,0,0
AR1995Q3,AR,1995-Q3,1/7/1995,-0.059299836,-0.032038596,0.999345503,-0.020612698,1.931233848,0.004957252,-0.130202928,0.026400379,0.004896434,0.306,1.575,0.034269188,0.057966667,0.022900143,1,0,0,0,0,0,0,0,0
AR1995Q4,AR,1995-Q4,1/10/1995,-0.06899777,0.021899646,0.959340941,-0.01748072,1.515907701,0.009460009,-0.137879718,0.018236643,0.004120644,0.322,1.609782609,-0.063703952,0.0572,0.033660573,1,0,0,0,0,0,0,0,0
AR1996Q1,AR,1996-Q1,1/1/1996,-0.076283555,0.042365343,0.950319844,-0.015579173,1.700969024,0.013326317,-0.005891548,0.004110551,-0.003071632,0.32,1.69875,0.079958873,0.053633333,0.177051423,1,0,0,0,0,0,0,0,0
AR1996Q2,AR,1996-Q2,1/4/1996,-0.078439322,0.048700275,0.936805998,-0.017631383,1.548234665,0.009082887,0.051020984,-0.002160867,-0.002699032,0.325,1.7,0.023005937,0.052433333,0.061089601,1,0,0,0,0,0,0,0,0
AR1996Q3,AR,1996-Q3,1/7/1996,-0.085581452,0.058829639,0.921375653,-0.019398551,1.745761037,0.007627516,0.082373098,0.00138011,-0.000763482,0.326,1.678378378,-0.033931914,0.053066667,0.024750855,1,0,0,0,0,0,0,0,0
AR1996Q4,AR,1996-Q4,1/10/1996,-0.098575394,0.028542592,0.934371587,-0.022187585,1.632961453,0.010333913,0.092249292,0.002878925,0.002922936,0.333,1.714473684,-0.012780023,0.0528,0.02517811,1,0,0,0,0,0,0,0,0
AR1997Q1,AR,1997-Q1,1/1/1997,-0.119115288,0.026934513,0.888574256,-0.024208678,1.683369051,0.01508473,0.08379057,0.007089693,0.006196839,0.339,1.504225352,0.082836862,0.052766667,0.146275844,1,0,0,0,0,0,0,0,0
